dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,HP 14-CF2087LA [310H3LA],279990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 600 (Integrada)
,Lenovo IdeaPad S145-14AST [81ST007YCL],279990,AMD A4-9125 (2 núcleos / 4 hilos / 2300 MHz  - 2600 MHz),4 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),AMD Radeon R3 Graphics (Mullins/Beema) (Integrada)
,Toshiba Dynabook A40-G [PMZ20U-0PM01H],279990,Intel Celeron 5205U (2 núcleos / 2 hilos / 1900 MHz ),4 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics 610 (Integrada)
,Toshiba Tecra A40-G1400ED [PMZ20U-00801H],279990,Intel Celeron 5205U (2 núcleos / 2 hilos / 1900 MHz ),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 610 (Integrada)
,Lenovo ThinkPad X240 [20AMS2LR00],280000,Intel Core i5-4200U (2 núcleos / 4 hilos / 1600 MHz  - 2600 MHz),4 GB DDR3L (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 4400 (Integrada)
,Lenovo ThinkPad X240 (4GB / 500GB) [20AMA3A3CD],280000,Intel Core i5-4200U (2 núcleos / 4 hilos / 1600 MHz  - 2600 MHz),4 GB DDR3L (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 4400 (Integrada)
,Lenovo ThinkPad X240 (4GB / 500GB) [20AMA33VCD],280000,Intel Core i5-4210U (2 núcleos / 4 hilos / 1700 MHz  - 2700 MHz),4 GB DDR3L (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 4400 (Integrada)
,Lenovo IdeaPad 3 14IGL05 [81WH001QCL],279990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,HP 15-EF1015LA [310J5LA],285990,AMD Ryzen 3 4300U (4 núcleos / 4 hilos / 2700 MHz  - 3700 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 5 (Integrada)
,Lenovo 100e Chromebook [81MA0017CS],287005,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,HP 14-DQ2026LA [3V8J8LA],286990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",Intel Optane 16GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,Lenovo V145-14AST [81MS004ACL],289408,AMD A4-9125 (2 núcleos / 4 hilos / 2300 MHz  - 2600 MHz),4 GB DDR4 (1866 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),AMD Radeon R3 Graphics (Mullins/Beema) (Integrada)
,ASUS E410MA (Celeron N4020 / 4GB / 128GB eMMC / W10H / Peacock Blue),289990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 128GB,Intel UHD Graphics 600 (Integrada)
,ASUS L410MA (N4020 / 4GB / 64GB eMMC),289990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G7 (Celeron N4020 / 4GB / 500GB / W10H),289990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel UHD Graphics 600 (Integrada)
,HP Chromebook 14A-NA0010CA [9VU02UA],289990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,Toshiba Dynabook Tecra A40-G1400ED [PMZ20U-008007],289990,Intel Celeron 5205U (2 núcleos / 2 hilos / 1900 MHz ),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 610 (Integrada)
,Toshiba Tecra A40-G (Celeron 5205U / 4GB / 128GB SSD / W10P ED),289990,Intel Celeron 5205U (2 núcleos / 2 hilos / 1900 MHz ),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics 610 (Integrada)
,Lenovo ThinkPad T440P [20AWS02V00],290000,Intel Core i5-4200M (2 núcleos / 2 hilos / 2500 MHz  - 3100 MHz),4 GB DDR3 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel HD Graphics 4600 (Integrada)
,Lenovo ThinkPad L440 (8GB / 500GB) [20ASS0QF00],290000,Intel Core i5-4300M (2 núcleos / 4 hilos / 2600 MHz  - 3300 MHz),8 GB DDR3L (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 4600 (Integrada)
